,roc_auc,f1,MCC
tsfresh_cb,0.5603601665158585,0.2000735564545789,0.23307963598750162
cnn,0.616003639007635,0.375,0.4677418359130252
cnn_win,0.8806212331942513,0.8644380100026323,0.8683532161816724
tr,0.6643486323597589,0.4947662247034194,0.5657714651159355
tr_win,0.9833101529902643,0.983026874115983,0.9825124501519814
cnn_tr,0.5468242929995364,0.17125900805426028,0.3006169073525834
cnn_tr_win,0.9917662772836973,0.9888164026095061,0.9883852424329947
informer,0.6564209300846858,0.4758547761720127,0.5496987080386845
informer_win,0.9867872044506258,0.9866102889358703,0.9861773936770015
itr,0.6963371316133566,0.5515898767034393,0.5928963714401443
itr_win,0.6935455896825349,0.5267104029990628,0.5507436399146356
